week,complaints,discount_rate,small_commercial_event,medium_commercial_event,big_commercial_event
9/16/2019,"1550",0.2456,0,0,0
9/23/2019,"1579",0.2213,0,0,0
9/30/2019,"1762",0.2486,0,0,0
10/7/2019,"2420",0.2841,1,0,0
10/14/2019,"2538",0.3064,0,1,0
10/21/2019,"1690",0.2826,0,0,0
10/28/2019,"1629",0.2487,0,0,0
11/4/2019,"2074",0.2638,1,0,0
11/11/2019,"2209",0.2943,0,0,0
11/18/2019,"2498",0.3409,0,0,0
11/25/2019,"3969",0.3504,0,0,0
12/2/2019,"2341",0.2523,1,0,0
12/9/2019,"3002",0.2426,0,0,0
12/16/2019,"2614",0.2847,0,0,0
12/23/2019,"1567",0.3355,0,0,0
12/30/2019,"1899",0.3405,0,0,0
1/6/2020,"3008",0.3369,0,1,0
1/13/2020,"2404",0.3845,0,0,0
1/20/2020,"2363",0.3718,1,0,0
1/27/2020,"2200",0.3713,0,0,0
2/3/2020,"2645",0.3528,0,0,1
2/10/2020,"1900",0.3096,1,0,0
2/17/2020,"1656",0.3103,0,0,0
2/24/2020,"1558",0.2679,0,0,0
3/2/2020,"1661",0.2582,1,0,0
3/9/2020,"1215",0.2654,1,0,0
3/16/2020,"1433",0.2961,0,0,0
3/23/2020,"1716",0.3184,0,1,0
3/30/2020,"2055",0.2940,1,0,0
4/6/2020,"1862",0.2383,0,0,0
4/13/2020,"2077",0.1960,0,0,0
4/20/2020,"2504",0.2063,0,0,0
4/27/2020,"3330",0.2458,0,0,0
5/4/2020,"3449",0.2418,0,0,0
5/11/2020,"3946",0.2717,0,0,0
5/18/2020,"3295",0.2551,0,0,0
5/25/2020,"3074",0.2358,0,0,0
6/1/2020,"2886",0.2441,0,0,0
6/8/2020,"2738",0.2417,0,0,0
6/15/2020,"2993",0.2759,0,0,0
6/22/2020,"2894",0.2881,0,0,0
6/29/2020,"2994",0.3038,0,0,0
7/6/2020,"3195",0.3178,1,0,0
7/13/2020,"2828",0.3450,0,0,0
7/20/2020,"3144",0.3607,1,0,0
7/27/2020,"2612",0.3634,0,0,0
8/3/2020,"2324",0.3631,0,0,0
8/10/2020,"1954",0.3779,0,0,0
8/17/2020,"2241",0.3894,1,0,0
8/24/2020,"2542",0.3922,0,1,0
8/31/2020,"2086",0.2510,0,0,0
9/7/2020,"2200",0.2425,0,0,0
9/14/2020,"2206",0.2357,0,0,0
9/21/2020,"2816",0.2295,1,0,0
9/28/2020,"2660",0.2065,0,0,0
10/5/2020,"3167",0.2426,0,0,0
10/12/2020,"3876",0.2772,0,1,0
10/19/2020,"3310",0.2820,1,0,0
10/26/2020,"2208",0.2260,0,0,0
11/2/2020,"2560",0.2528,0,0,0
11/9/2020,"3370",0.2692,1,0,0
11/16/2020,"4325",0.2864,0,0,0
11/23/2020,"6738",0.5920,0,0,0
11/30/2020,"3596",0.2458,1,0,0
12/7/2020,"4192",0.2365,0,0,0
12/14/2020,"3981",0.2588,0,0,0
12/21/2020,"2614",0.3025,0,0,0
12/28/2020,"2485",0.3026,0,0,0
1/4/2021,"3769",0.3413,0,1,0
1/11/2021,"3538",0.3707,0,0,0
1/18/2021,"3958",0.4140,0,1,0
1/25/2021,"3254",0.4108,0,0,0
2/1/2021,"3200",0.3995,0,0,0
2/8/2021,"3186",0.3917,0,1,0
2/15/2021,"2436",0.3567,0,0,0
2/22/2021,"2459",0.2913,0,0,0
3/1/2021,"2570",0.2723,0,0,0
3/8/2021,"2897",0.2876,1,0,0
3/15/2021,"3297",0.2845,1,0,0
3/22/2021,"3398",0.2838,0,0,0
3/29/2021,"3019",0.2703,0,0,0
4/5/2021,"3428",0.2791,0,0,0
4/12/2021,"3950",0.2930,1,0,0
4/19/2021,"3876",0.2837,0,1,0
4/26/2021,"3200",0.2567,0,0,0
5/3/2021,"3151",0.2351,0,0,0
5/10/2021,"3405",0.2877,0,0,0
5/17/2021,"3192",0.2505,0,0,0
5/24/2021,"3223",0.2303,0,0,0
5/31/2021,"3279",0.2402,0,0,0
6/7/2021,"3241",0.2653,0,0,0
6/14/2021,"3642",0.3099,0,0,0
6/21/2021,"4370",0.3447,0,1,0
6/28/2021,"3885",0.3479,0,0,0
7/5/2021,"3906",0.3751,1,0,0
7/12/2021,"3731",0.4104,0,0,0
7/19/2021,"3871",0.3943,0,1,0
7/26/2021,"3428",0.4328,0,0,0
8/2/2021,"3517",0.4459,0,1,0
8/9/2021,"2613",0.4356,0,0,0
8/16/2021,"2907",0.4546,0,0,0
8/23/2021,"3332",0.4096,0,0,1
8/30/2021,"2676",0.3488,0,0,0
9/6/2021,"2755",0.2675,0,0,0
9/13/2021,"2848",0.2537,0,0,0
9/20/2021,"2943",0.2609,1,0,0
9/27/2021,"3054",0.2521,1,0,0
10/4/2021,"3384",0.2705,0,0,0
10/11/2021,"4875",0.3103,0,1,0
10/18/2021,"3636",0.3108,0,0,0
10/25/2021,"3724",0.3382,0,1,0
11/1/2021,"3063",0.2874,0,0,0
11/8/2021,"3982",0.3193,0,0,1
11/15/2021,"4495",0.3398,0,0,0
11/22/2021,"6530",0.3766,0,0,0
11/29/2021,"3767",0.2696,0,1,0
12/6/2021,"4698",0.2461,1,0,0
12/13/2021,"5415",0.2454,0,0,0
12/20/2021,"3541",0.2957,0,0,0
12/27/2021,"2806",0.3204,0,0,0
1/3/2022,"4286",0.3234,0,0,1
1/10/2022,"3865",0.3608,0,0,0
1/17/2022,"4301",0.3723,0,1,0
1/24/2022,"3071",0.3823,0,0,0
1/31/2022,"3789",0.4021,0,1,0
2/7/2022,"3268",0.3924,1,0,0
2/14/2022,"3431",0.3675,0,0,1
2/21/2022,"2393",0.2983,0,0,0
2/28/2022,"2386",0.2873,0,0,0
3/7/2022,"2463",0.2903,0,0,0
3/14/2022,"2722",0.2785,0,0,0
3/21/2022,"3708",0.2989,0,1,0
3/28/2022,"3336",0.2741,0,0,0
4/4/2022,"3796",0.2731,0,1,0
4/11/2022,"2947",0.2766,0,0,0
4/18/2022,"3004",0.2842,0,0,0
4/25/2022,"3252",0.2932,0,0,0
5/2/2022,"3592",0.3451,0,0,0
5/9/2022,"3482",0.2574,0,0,0
5/16/2022,"3689",0.2279,0,0,0
5/23/2022,"3570",0.2463,0,0,0
5/30/2022,"3420",0.2717,0,0,0
6/6/2022,"3147",0.2497,0,0,0
6/13/2022,"3492",0.2914,0,0,0
6/20/2022,"4320",0.3274,0,0,1
6/27/2022,"3675",0.3402,0,0,0
7/4/2022,"4267",0.3444,0,1,0
7/11/2022,"4008",0.3554,1,0,0
7/18/2022,"3984",0.3739,1,0,0
7/25/2022,"3599",0.3909,0,0,0
8/1/2022,"3517",0.3908,1,0,0
8/8/2022,"2907",0.4124,0,0,0
8/15/2022,"2791",0.4035,0,0,0
8/22/2022,"3474",0.3698,0,1,0
8/29/2022,"2885",0.3145,0,0,0
9/5/2022,"3177",0.3130,0,0,0
9/12/2022,"3306",0.2821,1,0,0
9/19/2022,"3170",0.2776,0,0,0
9/26/2022,"3279",0.2850,0,0,0
10/3/2022,"3350",0.2978,0,0,0
10/10/2022,"4679",0.3162,0,1,0
10/17/2022,"3773",0.3237,0,0,0
10/24/2022,"4065",0.3295,0,1,0
10/31/2022,"3142",0.3264,0,0,0
11/7/2022,"4164",0.3020,0,0,1
11/14/2022,"4677",0.3424,0,0,0
11/21/2022,"7931",0.3759,0,0,0
11/28/2022,"4444",0.2989,0,1,0
12/5/2022,"4920",0.2848,1,0,0
12/12/2022,"5342",0.2889,0,0,0
12/19/2022,"3868",0.3326,0,0,0
12/26/2022,"3607",0.3735,0,1,0
